,name,pokedex_number,type1,type2,abilities,hp,atk,def,sp_atk,sp_def,speed,height(in),height(m),weight(lbs),weight(kg)
0,Abomasnow,460,Grass,Ice,"['Snow Warning', 'Soundproof', 'Snow Warning']",90,92,75,92,85,60,"7'03""
","2.2 m
","298.7 lbs.
","135.5 kg
"
1,Abra,63,Psychic,Unknown,"['Synchronize', 'Inner Focus', 'Magic Guard']",25,20,15,105,55,90,"2'11""
","0.9 m
","43.0 lbs.
","19.5 kg
"
2,Absol,359,Dark,Unknown,"['Pressure', 'Super Luck', 'Justified', 'Magic Bounce']",65,130,60,75,60,75,"3'11""
","1.2 m
","103.6 lbs.
","47.0 kg
"
3,Accelgor,617,Bug,Unknown,"['Hydration', 'Sticky Hold', 'Unburden']",80,70,40,100,60,145,"2'07""
","0.8 m
","55.8 lbs.
","25.3 kg
"
4,Aegislash,681,Steel,Ghost,['Stance Change'],60,50,150,50,150,60,"5'07""
","1.7 m
","116.8 lbs.
","53.0 kg
"
5,Aerodactyl,142,Rock,Flying,"['Rock Head', 'Pressure', 'Unnerve', 'Tough Claws']",80,105,65,60,75,130,"5'11""
","1.8 m
","130.1 lbs.
","59.0 kg
"
6,Aggron,306,Steel,Rock,"['Sturdy', 'Rock Head', 'Heavy Metal', 'Filter']",70,110,180,60,60,50,"6'11""
","2.1 m
","793.7 lbs.
","360.0 kg
"
7,Aipom,190,Normal,Unknown,"['Run Away', 'Pickup', 'Skill Link']",55,70,55,40,55,85,2??7??,"0.8 m
","25.4 lbs.
","11.5 kg
"
8,Alakazam,65,Psychic,Unknown,"['Synchronize', 'Inner Focus', 'Magic Guard', 'Trace']",55,50,45,135,85,120,"4'11""
","1.5 m
","105.8 lbs.
","48.0 kg
"
9,Alcremie,869,Fairy,Unknown,"['Sweet Veil', 'Aroma Veil']",65,60,75,110,121,64,"1'00""
","0.3 m
","1.1 lbs.
","0.5 kg
"
10,Alomomola,594,Water,Unknown,"['Healer', 'Hydration', 'Regenerator']",165,75,80,40,45,65,"3'11""
","1.2 m
","69.7 lbs.
","31.6 kg
"
11,Altaria,334,Dragon,Flying,"['Natural Cure', 'Cloud Nine', 'Pixilate']",75,70,90,70,105,80,"3'07""
","1.1 m
","45.4 lbs.
","20.6 kg
"
12,Amaura,698,Rock,Ice,"['Refrigerate', 'Snow Warning']",77,59,50,67,63,46,"4'03""
","1.3 m
","55.6 lbs.
","25.2 kg
"
13,Ambipom,424,Normal,Unknown,"['Technician', 'Pickup', 'Skill Link']",75,100,66,60,66,115,"3'11""
","1.2 m
","44.8 lbs.
","20.3 kg
"
14,Amoonguss,591,Grass,Poison,"['Effect Spore', 'Regenerator']",114,85,70,85,80,30,"2'00""
","0.6 m
","23.1 lbs.
","10.5 kg
"
15,Ampharos,181,Electric,Unknown,"['Static', 'Plus', 'Mold Breaker']",90,75,75,115,90,55,"4'07""
","1.4 m
","135.6 lbs.
","61.5 kg
"
16,Anorith,347,Rock,Bug,"['Battle Armor', 'Swift Swim']",45,95,50,40,50,75,"2'04""
","0.7 m
","27.6 lbs.
","12.5 kg
"
17,Appletun,842,Grass,Dragon,"['Ripen', 'Gluttony', 'Thick Fat']",110,85,80,100,80,30,"1'04""
","0.4 m
","28.7 lbs.
","13.0 kg
"
18,Applin,840,Grass,Dragon,"['Ripen', 'Gluttony', 'Bulletproof']",40,40,80,40,40,20,"0'08""
","0.2 m
","1.1 lbs.
","0.5 kg
"
19,Araquanid,752,Water,Bug,"['Water Bubble', 'Water Absorb']",68,70,92,50,132,42,"5'11""
","1.8 m
","180.8 lbs.
","82.0 kg
"
